areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw1,536,mini-grid,42.88,8061.44,3730.56
mw2,4667,solar,23.335,8423.935,816.725
mw3,1321,Mini-grid,95.7725,79012.3125,6895.62
mw4,3292,grid,370.35,181841.85,20369.25
mw5,3510,stand-alone-diesel,87.75,26237.25,7371
mw6,4928,stand-alone-diesel,529.76,234153.92,20130.88
mw7,4368,stand-alone-photovoltaic,404.04,69898.92,37979.76
mw8,1635,mini-grid,28.6125,24406.4625,2117.325
mw9,1656,grid,107.64,106455.96,3875.04
mw10,3646,stand-alone-photovoltaic,45.575,44253.325,4329.625
mw11,2823,grid,225.84,54879.12,17389.68
mw12,1746,stand-alone-diesel,213.885,140308.56,5774.895
mw13,2558,mini-grid,274.985,131442.83,26123.575
mw14,3079,stand-alone-diesel,300.2025,177419.6775,24016.2
mw15,3185,grid,294.6125,190319.675,13846.7875
mw16,1729,mini-grid,30.2575,10771.67,1573.39
mw17,1864,grid,60.58,15145,2059.72
mw18,656,stand-alone-diesel,26.24,22513.92,1784.32
mw19,2663,mini-grid,159.78,139807.5,4953.18
mw20,4041,grid,252.5625,195988.5,21972.9375
mw21,2911,stand-alone-diesel,276.545,154588.655,17698.88
mw22,4520,grid,531.1,456746,35052.6
mw23,3600,stand-alone-diesel,315,89145,10080
mw24,4626,stand-alone-diesel,23.13,9737.73,2289.87
mw25,2300,mini-grid,166.75,53193.25,11005.5
mw26,2357,grid,41.2475,27305.845,3176.0575
mw27,1508,grid,3.77,1802.06,180.96
mw28,1295,grid,97.125,17773.875,8352.75
mw29,3685,stand-alone-diesel,92.125,37402.75,5803.875
mw30,4764,stand-alone-photovoltaic,524.04,164024.52,22009.68
mw31,3584,stand-alone-photovoltaic,448,75264,12992
mw32,2407,mini-grid,156.455,29726.45,9074.39
mw33,3553,stand-alone-diesel,302.005,106003.755,9966.165
mw34,4538,stand-alone-diesel,147.485,28169.635,4867.005
mw35,3247,stand-alone-photovoltaic,284.1125,150011.4,21592.55
mw36,934,stand-alone-diesel,81.725,18061.225,2124.85
mw37,1443,grid,165.945,97077.825,16262.61
mw38,3562,grid,302.77,105061.19,23010.52
mw39,1712,stand-alone-photovoltaic,188.32,140110.08,15253.92
mw40,852,stand-alone-photovoltaic,10.65,4228.05,511.2
mw41,1452,stand-alone-diesel,36.3,22578.6,1923.9
mw42,2338,stand-alone-diesel,116.9,26302.5,10521
mw43,2322,grid,145.125,110730.375,11174.625
mw44,2424,stand-alone-diesel,266.64,118121.52,9865.68
mw45,2409,stand-alone-diesel,301.125,44265.375,28606.875
mw46,2829,mini-grid,325.335,284342.79,10736.055
mw47,4170,mini-grid,500.4,140112,25520.4
mw48,2451,stand-alone-diesel,147.06,63971.1,6029.46
mw49,3443,stand-alone-diesel,189.365,79533.3,13255.55
