area_id,population,least_cost_electrification_technology,new_connections,investiment_required,capacity_added
mw1,536,mini-grid,10.72,1618.72,954.08
mw2,4667,solar,221.6825,62957.83,15074.41
mw3,1321,Mini-grid,9.9075,1773.4425,733.155
mw4,3292,grid,49.38,16097.88,1876.44
mw5,3510,stand-alone-diesel,307.125,176904,26719.875
mw6,4928,stand-alone-diesel,295.68,78946.56,26906.88
mw7,4368,stand-alone-photovoltaic,76.44,62451.48,6038.76
mw8,1635,mini-grid,106.275,47611.2,2763.15
mw9,1656,grid,12.42,5812.56,1043.28
mw10,3646,stand-alone-photovoltaic,164.07,159311.97,3937.68
mw11,2823,grid,254.07,214435.08,13465.71
mw12,1746,stand-alone-diesel,174.6,138457.8,6285.6
mw13,2558,mini-grid,172.665,60087.42,15539.85
mw14,3079,stand-alone-diesel,15.395,4772.45,1170.02
mw15,3185,grid,382.2,100518.6,37837.8
mw16,1729,mini-grid,185.8675,24906.245,4274.9525
mw17,1864,grid,23.3,6151.2,1421.3
mw18,656,stand-alone-diesel,70.52,59307.32,5782.64
mw19,2663,mini-grid,319.56,220815.96,14060.64
mw20,4041,grid,60.615,42369.885,1757.835
mw21,2911,stand-alone-diesel,240.1575,79732.29,18011.8125
mw22,4520,grid,372.9,170415.3,17899.2
mw23,3600,stand-alone-diesel,99,14751,8514
mw24,4626,stand-alone-diesel,531.99,163852.92,50007.06
mw25,2300,mini-grid,218.5,143554.5,20102
mw26,2357,grid,41.2475,18437.6325,2186.1175
mw27,1508,grid,120.64,91565.76,3860.48
mw28,1295,grid,87.4125,38985.975,2884.6125
mw29,3685,stand-alone-diesel,18.425,12455.3,1768.8
mw30,4764,stand-alone-photovoltaic,71.46,17221.86,4859.28
mw31,3584,stand-alone-photovoltaic,340.48,244464.64,27578.88
mw32,2407,mini-grid,186.5425,143637.725,13057.975
mw33,3553,stand-alone-diesel,364.1825,310647.6725,13474.7525
mw34,4538,stand-alone-diesel,79.415,24936.31,6512.03
mw35,3247,stand-alone-photovoltaic,121.7625,27396.5625,5235.7875
mw36,934,stand-alone-diesel,14.01,3292.35,644.46
mw37,1443,grid,180.375,169913.25,4148.625
mw38,3562,grid,365.105,105150.24,8762.52
mw39,1712,stand-alone-photovoltaic,196.88,47448.08,18900.48
