id,wkt
gh1,SRID=4326;POINT(-0.2657591 11.1674839)
gh2,SRID=4326;POINT(-0.2615925 11.1674839)
gh3,SRID=4326;POINT(-0.2574258 11.1674839)
gh4,SRID=4326;POINT(-0.2740925 11.1633172)
gh5,SRID=4326;POINT(-0.2699258 11.1633172)
gh6,SRID=4326;POINT(-0.2657591 11.1633172)
gh7,SRID=4326;POINT(-0.2615925 11.1633172)
gh8,SRID=4326;POINT(-0.2574258 11.1633172)
gh9,SRID=4326;POINT(-0.2240925 11.1591506)
gh10,SRID=4326;POINT(-0.2157591 11.1591506)
gh11,SRID=4326;POINT(-0.2657591 11.1549839)
gh12,SRID=4326;POINT(-0.2615925 11.1549839)
gh13,SRID=4326;POINT(-0.2574258 11.1549839)
gh14,SRID=4326;POINT(-0.2532591 11.1549839)
gh15,SRID=4326;POINT(-0.2490925 11.1549839)
gh16,SRID=4326;POINT(-0.2449258 11.1549839)
gh17,SRID=4326;POINT(-0.2365925 11.1549839)
gh18,SRID=4326;POINT(-0.2199258 11.1549839)
gh19,SRID=4326;POINT(-0.2157591 11.1549839)
gh20,SRID=4326;POINT(-0.2115925 11.1549839)
gh21,SRID=4326;POINT(-0.2074258 11.1549839)
gh22,SRID=4326;POINT(-0.2032591 11.1549839)
gh23,SRID=4326;POINT(-0.1990925 11.1549839)
gh24,SRID=4326;POINT(-0.2865925 11.1508172)
gh25,SRID=4326;POINT(-0.2699258 11.1508172)
gh26,SRID=4326;POINT(-0.2615925 11.1508172)
gh27,SRID=4326;POINT(-0.2574258 11.1508172)
gh28,SRID=4326;POINT(-0.2532591 11.1508172)
gh29,SRID=4326;POINT(-0.2490925 11.1508172)
gh30,SRID=4326;POINT(-0.2449258 11.1508172)
gh31,SRID=4326;POINT(-0.2407591 11.1508172)
gh32,SRID=4326;POINT(-0.2365925 11.1508172)
gh33,SRID=4326;POINT(-0.2324258 11.1508172)
gh34,SRID=4326;POINT(-0.2282591 11.1508172)
gh35,SRID=4326;POINT(-0.2240925 11.1508172)
gh36,SRID=4326;POINT(-0.2199258 11.1508172)
gh37,SRID=4326;POINT(-0.2157591 11.1508172)
gh38,SRID=4326;POINT(-0.2115925 11.1508172)
gh39,SRID=4326;POINT(-0.2074258 11.1508172)
gh40,SRID=4326;POINT(-0.2032591 11.1508172)
gh41,SRID=4326;POINT(-0.1990925 11.1508172)
gh42,SRID=4326;POINT(-0.1949258 11.1508172)
gh43,SRID=4326;POINT(-0.1907591 11.1508172)
gh44,SRID=4326;POINT(-0.1865925 11.1508172)
gh45,SRID=4326;POINT(-0.2907591 11.1466506)
gh46,SRID=4326;POINT(-0.2865925 11.1466506)
gh47,SRID=4326;POINT(-0.2699258 11.1466506)
gh48,SRID=4326;POINT(-0.2657591 11.1466506)
gh49,SRID=4326;POINT(-0.2615925 11.1466506)
gh50,SRID=4326;POINT(-0.2574258 11.1466506)
gh51,SRID=4326;POINT(-0.2532591 11.1466506)
gh52,SRID=4326;POINT(-0.2490925 11.1466506)
gh53,SRID=4326;POINT(-0.2449258 11.1466506)
gh54,SRID=4326;POINT(-0.2407591 11.1466506)
gh55,SRID=4326;POINT(-0.2365925 11.1466506)
gh56,SRID=4326;POINT(-0.2324258 11.1466506)
gh57,SRID=4326;POINT(-0.2282591 11.1466506)
gh58,SRID=4326;POINT(-0.2240925 11.1466506)
gh59,SRID=4326;POINT(-0.2199258 11.1466506)
gh60,SRID=4326;POINT(-0.2157591 11.1466506)
gh61,SRID=4326;POINT(-0.2115925 11.1466506)
gh62,SRID=4326;POINT(-0.2074258 11.1466506)
gh63,SRID=4326;POINT(-0.2032591 11.1466506)
gh64,SRID=4326;POINT(-0.1990925 11.1466506)
gh65,SRID=4326;POINT(-0.1949258 11.1466506)
gh66,SRID=4326;POINT(-0.1907591 11.1466506)
gh67,SRID=4326;POINT(-0.1865925 11.1466506)
gh68,SRID=4326;POINT(-0.1824258 11.1466506)
gh69,SRID=4326;POINT(-0.1782591 11.1466506)
gh70,SRID=4326;POINT(-0.1699258 11.1466506)
gh71,SRID=4326;POINT(-0.2824258 11.1424839)
gh72,SRID=4326;POINT(-0.2699258 11.1424839)
gh73,SRID=4326;POINT(-0.2657591 11.1424839)
gh74,SRID=4326;POINT(-0.2615925 11.1424839)
gh75,SRID=4326;POINT(-0.2532591 11.1424839)
gh76,SRID=4326;POINT(-0.2490925 11.1424839)
gh77,SRID=4326;POINT(-0.2449258 11.1424839)
gh78,SRID=4326;POINT(-0.2407591 11.1424839)
gh79,SRID=4326;POINT(-0.2365925 11.1424839)
gh80,SRID=4326;POINT(-0.2324258 11.1424839)
gh81,SRID=4326;POINT(-0.2282591 11.1424839)
gh82,SRID=4326;POINT(-0.2240925 11.1424839)
gh83,SRID=4326;POINT(-0.2199258 11.1424839)
gh84,SRID=4326;POINT(-0.2157591 11.1424839)
gh85,SRID=4326;POINT(-0.2115925 11.1424839)
gh86,SRID=4326;POINT(-0.2074258 11.1424839)
gh87,SRID=4326;POINT(-0.2032591 11.1424839)
gh88,SRID=4326;POINT(-0.1990925 11.1424839)
gh89,SRID=4326;POINT(-0.1949258 11.1424839)
gh90,SRID=4326;POINT(-0.1907591 11.1424839)
gh91,SRID=4326;POINT(-0.1824258 11.1424839)
gh92,SRID=4326;POINT(-0.1782591 11.1424839)
gh93,SRID=4326;POINT(-0.1740925 11.1424839)
gh94,SRID=4326;POINT(-0.1699258 11.1424839)
gh95,SRID=4326;POINT(-0.1615925 11.1424839)
gh96,SRID=4326;POINT(-0.1574258 11.1424839)
gh97,SRID=4326;POINT(-0.1490925 11.1424839)
gh98,SRID=4326;POINT(-0.2824258 11.1383172)
gh99,SRID=4326;POINT(-0.2782591 11.1383172)
gh100,SRID=4326;POINT(-0.2740925 11.1383172)
gh101,SRID=4326;POINT(-0.2657591 11.1383172)
gh102,SRID=4326;POINT(-0.2615925 11.1383172)
gh103,SRID=4326;POINT(-0.2532591 11.1383172)
gh104,SRID=4326;POINT(-0.2490925 11.1383172)
gh105,SRID=4326;POINT(-0.2449258 11.1383172)
gh106,SRID=4326;POINT(-0.2407591 11.1383172)
gh107,SRID=4326;POINT(-0.2365925 11.1383172)
gh108,SRID=4326;POINT(-0.2324258 11.1383172)
gh109,SRID=4326;POINT(-0.2282591 11.1383172)
gh110,SRID=4326;POINT(-0.2240925 11.1383172)
gh111,SRID=4326;POINT(-0.2199258 11.1383172)
gh112,SRID=4326;POINT(-0.2157591 11.1383172)
gh113,SRID=4326;POINT(-0.2115925 11.1383172)
gh114,SRID=4326;POINT(-0.2074258 11.1383172)
gh115,SRID=4326;POINT(-0.2032591 11.1383172)
gh116,SRID=4326;POINT(-0.1949258 11.1383172)
gh117,SRID=4326;POINT(-0.1907591 11.1383172)
gh118,SRID=4326;POINT(-0.1782591 11.1383172)
gh119,SRID=4326;POINT(-0.1740925 11.1383172)
gh120,SRID=4326;POINT(-0.1699258 11.1383172)
gh121,SRID=4326;POINT(-0.1574258 11.1383172)
gh122,SRID=4326;POINT(-0.1532591 11.1383172)
gh123,SRID=4326;POINT(-0.1490925 11.1383172)
gh124,SRID=4326;POINT(-0.2449258 11.1341506)
gh125,SRID=4326;POINT(-0.2407591 11.1341506)
gh126,SRID=4326;POINT(-0.2240925 11.1341506)
gh127,SRID=4326;POINT(-0.2074258 11.1341506)
gh128,SRID=4326;POINT(-0.2032591 11.1341506)
gh129,SRID=4326;POINT(-0.1949258 11.1341506)
gh130,SRID=4326;POINT(-0.1907591 11.1341506)
gh131,SRID=4326;POINT(-0.1824258 11.1341506)
gh132,SRID=4326;POINT(-0.1782591 11.1341506)
gh133,SRID=4326;POINT(-0.1740925 11.1341506)
gh134,SRID=4326;POINT(-0.1657591 11.1341506)
gh135,SRID=4326;POINT(-0.1615925 11.1341506)
gh136,SRID=4326;POINT(-0.1574258 11.1341506)
gh137,SRID=4326;POINT(-0.1532591 11.1341506)
gh138,SRID=4326;POINT(-0.2615925 11.1299839)
gh139,SRID=4326;POINT(-0.2574258 11.1299839)
gh140,SRID=4326;POINT(-0.2532591 11.1299839)
gh141,SRID=4326;POINT(-0.2490925 11.1299839)
gh142,SRID=4326;POINT(-0.2407591 11.1299839)
gh143,SRID=4326;POINT(-0.2365925 11.1299839)
gh144,SRID=4326;POINT(-0.2324258 11.1299839)
gh145,SRID=4326;POINT(-0.2282591 11.1299839)
gh146,SRID=4326;POINT(-0.2240925 11.1299839)
gh147,SRID=4326;POINT(-0.2199258 11.1299839)
gh148,SRID=4326;POINT(-0.2157591 11.1299839)
gh149,SRID=4326;POINT(-0.2115925 11.1299839)
gh150,SRID=4326;POINT(-0.2074258 11.1299839)
gh151,SRID=4326;POINT(-0.2032591 11.1299839)
gh152,SRID=4326;POINT(-0.1907591 11.1299839)
gh153,SRID=4326;POINT(-0.1824258 11.1299839)
gh154,SRID=4326;POINT(-0.1782591 11.1299839)
gh155,SRID=4326;POINT(-0.1740925 11.1299839)
gh156,SRID=4326;POINT(-0.1699258 11.1299839)
gh157,SRID=4326;POINT(-0.1657591 11.1299839)
gh158,SRID=4326;POINT(-0.1615925 11.1299839)
gh159,SRID=4326;POINT(-0.1574258 11.1299839)
gh160,SRID=4326;POINT(-0.1532591 11.1299839)
gh161,SRID=4326;POINT(-0.1490925 11.1299839)
gh162,SRID=4326;POINT(-0.2574258 11.1258172)
gh163,SRID=4326;POINT(-0.2532591 11.1258172)
gh164,SRID=4326;POINT(-0.2490925 11.1258172)
gh165,SRID=4326;POINT(-0.2449258 11.1258172)
gh166,SRID=4326;POINT(-0.2407591 11.1258172)
gh167,SRID=4326;POINT(-0.2365925 11.1258172)
gh168,SRID=4326;POINT(-0.2324258 11.1258172)
gh169,SRID=4326;POINT(-0.2282591 11.1258172)
gh170,SRID=4326;POINT(-0.2240925 11.1258172)
gh171,SRID=4326;POINT(-0.2199258 11.1258172)
gh172,SRID=4326;POINT(-0.2157591 11.1258172)
gh173,SRID=4326;POINT(-0.2115925 11.1258172)
gh174,SRID=4326;POINT(-0.2074258 11.1258172)
