IsUrban,NTLBin,NTLArea,X_deg,Y_deg,GridCellArea,ID,Pop,Elevation,LandCover,NightLights,Slope,GHI,TravelHours,WindVel,SubstationDist,RoadDist,CurrentMVLineDist,PlannedMVLinedist,Hydropower,HydropowerFID,HydropowerDist,X,Y,CurrentHVLineDist,PlannedHVLineDist,TransformerDist,ResidentialDemandTierCustom,NTLBin.1,PerCapitaDemand,HealthDemand,EducationDemand,AgriDemand,ElectrificationOrder,Conflict,CommercialDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,Country,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,PopEndYear,Pop2023,Pop2030,Pop2018,ElecPop,ElecStart,GridDistCalibElec,Elec_Initial_Status_Grid2018,Elec_Init_Status_Offgrid2018,Actual_Elec_Status_2018,FinalElecCode2018,GridReachYear,NumPeoplePerHH,TotalEnergyPerCell,InvestmentCostLV2030,InvestmentCostMV2030,InvestmentCostHV2030,InvestmentCostTransformer2030,InvestmentCostConnection2030,InfrastructureCapitaCost2030,ResultsNoTimestep,NewConnections2023,EnergyPerSettlement2023,MG_Hydro2023,MG_PV2023,MG_Wind2023,MG_Diesel2023,SA_Diesel2023,SA_PV2023,Minimum_Tech_Off_grid2023,Minimum_LCOE_Off_grid2023,Off_Grid_Code2023,Elec_Initial_Status_Grid2023,Elec_Init_Status_Offgrid2023,Actual_Elec_Status_2023,Grid_extension2023,MinGridDist2023,ElectrificationOrder2023,MinimumOverall2023,MinimumOverallLCOE2023,MinimumOverallCode2023,InvestmentCost2023,InvestmentCapita2023,ElecStatusIn2023,GridElecIn2023,OffGridElecIn2023,FinalElecCode2023,NewCapacity2023,InvestmentCostLV2023,InvestmentCostMV2023,InvestmentCostHV2023,InvestmentCostTransformer2023,InvestmentCostConnection2023,InfrastructureCapitaCost2023,NewConnections2030,EnergyPerSettlement2030,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030,Off_Grid_Code2030,Elec_Initial_Status_Grid2030,Elec_Init_Status_Offgrid2030,Actual_Elec_Status_2030,Grid_extension2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,GridElecIn2030,OffGridElecIn2030,FinalElecCode2030,NewCapacity2030
0,0,0.64004,33.06212,-13.67441,0.135,168913,623.2136826,1123,9,0.64004,0.31321,2058,1.23333,4.87355,74.38157,1.07839,0.8739,0.8739,221,2216,25.62412,3255274.331,-1684610.836,8.77839226,8.77839226,1.95234,56.03174603,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.070745309,698.697186,1006.387232,813.430987,1006.387232,698.697186,0,1,1.95234,1,0,1,1,2018,5.5,44079.76076,1698.652714,2831.087857,0,0,4280.120344,251.1151429,1,813.430987,35628.27723,1,0.294256958,1,0.676131722,0.75651586,0.373690758,MG_PV2023,0.294256958,5,1,0,1,0.08,0,0,Grid_extension2023,0.08,1,59046.12594,72.58898036,1,1,0,1,5.981110199,15540.52728,0,0,10000,18043.37826,294.6918476,192.956245,8451.483531,1,0.298036061,1,0.680622585,0.752649429,0.383009205,MG_PV2030,0.298036061,5,1,0,1,0.08,0,0,Grid_extension2030,0.08,1,8833.435145,1,1,0,1,1.418795919
0,0,1.04007,33.06219,-13.51602,0.219,168962,617.6416613,1068,9,1.04007,0.17535,2070,1.68333,4.83687,69.99169,0.09233,0.51468,0.51468,221,2216,35.56059,3256625.937,-1665237.928,0.53851044,0.53851044,2.84833,61.1875,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.068853001,692.4502827,997.3893372,806.1582732,997.3893372,692.4502827,0,1,2.84833,1,0,1,1,2018,5.5,43685.65297,2153.820824,3589.701373,0,0,4241.852692,287.1895431,1,806.1582732,35309.73237,1,0.309046371,1,0.693986411,0.779141322,0.371524435,MG_PV2023,0.309046371,5,1,0,1,0.08,0,0,Grid_extension2023,0.08,1,62944.43159,78.0794959,1,1,0,1,5.927634362,19707.10662,0,0,10000,17882.05624,324.6761889,191.231064,8375.920603,1,0.316494727,1,0.702658872,0.775274891,0.380788862,MG_PV2030,0.316494727,5,1,0,1,0.08,0,0,Grid_extension2030,0.08,1,9608.099895,1,1,0,1,1.406110765
0,0,0.08001,33.06238,-9.58672,0.017,168967,20.96698638,1348,9,0.08001,1.20305,2158,2.18333,5.01659,100.86351,1.3231,14.32101,14.32101,337,3052,65.76061,3284969.614,-1183227.265,26.63161848,26.63161848,18.59193,26,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.078325991,23.50650313,33.85822226,27.36653078,33.85822226,23.50650313,0,0,18.59193,0,0,0,1,2018,5.5,1482.990135,0,0,0,0,0,0,3,27.36653078,1198.654048,1,0.714270654,1,1.137056313,0.804280724,0.356374226,SA_PV2023,0.356374226,3,0,0,0,1,0,0,SA_PV2023,0.356374226,3,3394.396697,124.0345999,0,0,0,1,0,0,0,0,0,0,0,33.85822226,1482.990135,1,0.636025909,1,1.057839573,0.800414292,0.365260864,SA_PV2030,0.365260864,3,0,0,1,1,0,0,SA_PV2030,0.365260864,3,2858.171105,1,0,1,3,0.76356201
0,0,0.08001,33.06238,-13.92926,0.017,169022,32.19227064,1084,9,0.08001,0.32905,2050,1.05,4.67114,65.64027,2.07704,2.19878,2.19878,221,2216,31.07364,3253103.014,-1715769.99,14.00917935,9.62672781,2.20242,215.875,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.060579322,36.09139134,51.98520354,42.01799674,51.98520354,36.09139134,0,0,2.20242,0,0,0,1,2018,5.5,2276.951915,0,0,0,0,0,0,3,42.01799674,1840.388257,1,0.56617136,1,0.966631285,0.747298247,0.375149064,SA_PV2023,0.375149064,3,0,0,0,1,0,0,SA_PV2023,0.375149064,3,5486.252257,130.5691057,0,0,0,1,0,0,0,0,0,0,0,51.98520354,2276.951915,1,0.514766791,1,0.914522786,0.743431816,0.384503875,SA_PV2030,0.384503875,3,0,0,1,1,0,0,SA_PV2030,0.384503875,3,4619.568388,1,0,1,3,1.234120279
0,0,0.20001,33.06246,-13.50659,0.042,169023,79.22908085,1056,9,0.20001,0.1698,2074,1.78333,4.82769,69.18613,0.77413,0.50747,0.50747,221,2216,36.31391,3256732.658,-1664084.464,1.06644312,1.06644312,2.65371,196.2881944,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.0683828,88.8252896,127.9418883,103.411384,127.9418883,88.8252896,0,0,2.65371,0,0,0,1,2018,5.5,5603.854708,0,0,0,0,0,0,3,103.411384,4529.418619,1,0.415492653,1,0.80869721,0.784169202,0.370807898,SA_PV2023,0.370807898,3,0,0,0,1,0,0,SA_PV2023,0.370807898,3,13346.08508,129.0581806,0,0,0,1,0,0,0,0,0,0,0,127.9418883,5603.854708,1,0.391206017,1,0.784240942,0.780302771,0.380054457,SA_PV2030,0.380054457,3,0,0,1,1,0,0,SA_PV2030,0.380054457,3,11237.75391,1,0,1,3,3.002172242
0,0.002194356,0.12001,33.06252,-13.65037,0.025,169026,66.46113362,1115,9,0.12001,0.40351,2060,1.28333,4.98149,75.65846,0.71767,0.97621,0.97621,221,2216,26.59542,3255518.83,-1681670.224,7.40114857,7.40114857,1.19839,114.7222222,0.002194356,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.076436794,74.51089143,107.3237609,86.74640341,107.3237609,74.51089143,1.362414979,0,1.19839,0,0,0,1,2018,5.5,4700.780727,0,0,0,0,0,0,3,86.74640341,3799.492469,1,0.421752386,1,0.8131378,0.759029801,0.373327952,SA_PV2023,0.373327952,3,0,0,0,1,0,0,SA_PV2023,0.373327952,3,11271.41779,129.9352751,0,0,0,1,0,0,0,0,0,0,0,107.3237609,4700.780727,1,0.395314706,1,0.786394163,0.755163369,0.382637352,SA_PV2030,0.382637352,3,0,0,1,1,0,0,SA_PV2030,0.382637352,3,9490.829594,1,0,1,3,2.535480436
0,4,4,33.06265,-13.90416,0.605,169030,1892.205054,1098,9,4,0.8336,2050,0.93333,4.71761,65.98869,0.10227,0.27572,0.27572,221,2216,29.37711,3253347.441,-1712701.141,11.23215541,6.8991919,0.27771,158.9305556,4,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.062852604,2121.388512,3055.598841,2469.743954,3055.598841,2121.388512,2121.388512,1,0.27771,1,0,1,1,2018,5.5,133835.2292,6265.864648,10443.10775,0,0,12995.32658,278.8636709,1,1441.487648,63137.15898,1,0.34558587,1,0.729839244,0.741432219,0.375149064,MG_PV2023,0.34558587,5,1,0,1,0.08,0,0,Grid_extension2023,0.08,1,111796.8288,77.55656386,1,1,0,1,10.59917388,20671.37406,34452.29009,0,0,31974.81692,332.3244889,585.854887,25660.44405,1,0.313692621,1,0.696245904,0.737565788,0.384503875,MG_PV2030,0.313692621,5,1,0,1,0.08,0,0,Grid_extension2030,0.08,1,28831.75981,1,1,0,1,4.307756522
0,0,0.04,33.0628,-13.92093,0.008,169031,4.142662979,1094,9,0.04,0.60157,2051,0.98333,4.67114,65.70794,1.39098,1.27928,1.27928,221,2216,30.46485,3253216.5,-1714751.299,13.08621523,8.71395087,1.28325,115.9722222,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.060579322,4.644421403,6.689716937,5.407086735,6.689716937,4.644421403,0,0,1.28325,0,0,0,1,2018,5.5,293.0096018,0,0,0,0,0,0,3,5.407086735,236.830399,1,2.343512419,1,2.872577444,0.74394616,0.374966153,SA_PV2023,0.374966153,3,0,0,0,1,0,0,SA_PV2023,0.374966153,3,705.6542578,130.5054445,0,0,0,1,0,0,0,0,0,0,0,6.689716937,293.0096018,1,1.97492997,1,2.497824414,0.740079728,0.384316404,SA_PV2030,0.384316404,3,0,0,1,1,0,0,SA_PV2030,0.384316404,3,594.179405,1,0,1,3,0.15873536
0,0,0.04,33.0628,-13.77343,0.008,169063,4.167114043,1090,8,0.04,0.48841,2047,1.21667,4.58921,69.71448,2.16733,2.19335,2.19335,221,2216,24.18199,3254492.289,-1696718.154,3.22503294,3.22503294,2.26504,95.98611111,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,2,3,5,3.3,1.06063919,0.05666271,4.671833974,6.72920137,5.439000753,6.72920137,4.671833974,0,0,2.26504,0,0,0,1,2018,5.5,294.73902,0,0,0,0,0,0,3,5.439000753,238.228233,1,2.331903504,1,2.860245376,0.755678216,0.375698867,SA_PV2023,0.375698867,3,0,0,0,1,0,0,SA_PV2023,0.375698867,3,711.2062538,130.7604625,0,0,0,1,0,0,0,0,0,0,0,6.72920137,294.73902,1,1.965461173,1,2.487665281,0.751811784,0.385067388,SA_PV2030,0.385067388,3,0,0,1,1,0,0,SA_PV2030,0.385067388,3,598.8543315,1,0,1,3,0.15998427
0,0,0.04,33.0628,-13.78509,0.008,169064,4.167811064,1098,8,0.04,0.3041,2047,1.3,4.62466,69.26612,2.25809,2.04458,2.04458,221,2216,24.34187,3254391.878,-1698144.664,1.93485768,1.93485768,2.09717,63.33333333,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,2,3,5,3.3,1.06063919,0.058342904,4.672615418,6.730326944,5.439910519,6.730326944,4.672615418,0,0,2.09717,0,0,0,1,2018,5.5,294.7883201,0,0,0,0,0,0,3,5.439910519,238.2680807,1,2.331564981,1,2.860053492,0.759867948,0.375698867,SA_PV2023,0.375698867,3,0,0,0,1,0,0,SA_PV2023,0.375698867,3,711.3252152,130.7604625,0,0,0,1,0,0,0,0,0,0,0,6.730326944,294.7883201,1,1.96518317,1,2.487534969,0.756001517,0.385067388,SA_PV2030,0.385067388,3,0,0,1,1,0,0,SA_PV2030,0.385067388,3,598.9545001,1,0,1,3,0.16001103
